AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
JUP ENSG00000173801.12 0.075502 0.064585 ENSG00000173801
GSTT1 ENSG00000184674.8 0.671726 0.065848 ENSG00000184674
ADARB2 ENSG00000185736.11 0.06711 0.077125 ENSG00000185736
TMEM176B ENSG00000106565.13 0.146553 0.086133 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.068571 0.05571 ENSG00000074803
TMTC1 ENSG00000133687.11 0.114898 0.073386 ENSG00000133687
NIPAL2 ENSG00000104361.5 0.316593 0.088382 ENSG00000104361
PEX11G ENSG00000104883.3 0.214211 0.102417 ENSG00000104883
FAM118A ENSG00000100376.7 0.835036 0.04646 ENSG00000100376
LRRC6 ENSG00000129295.4 0.089056 0.082929 ENSG00000129295
PILRA ENSG00000085514.10 0.384915 0.077717 ENSG00000085514
RPS28 ENSG00000233927.4 0.841437 0.041834 ENSG00000233927
TREML4 ENSG00000188056.7 0.405242 0.094986 ENSG00000188056
PAM ENSG00000145730.16 0.151799 0.078508 ENSG00000145730
RNPEP ENSG00000176393.6 0.241934 0.098963 ENSG00000176393
VPS53 ENSG00000141252.15 0.426738 0.081801 ENSG00000141252
ZP3 ENSG00000188372.10 0.641902 0.063097 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.051339 0.050989 ENSG00000168255
NFXL1 ENSG00000170448.7 0.118779 0.063947 ENSG00000170448
RPL9 ENSG00000163682.11 0.82601 0.039104 ENSG00000163682
ST20 ENSG00000180953.7 0.741533 0.061731 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.74768 0.051701 ENSG00000142856
ABCA7 ENSG00000064687.8 0.418877 0.10065 ENSG00000064687
ACCS ENSG00000110455.9 0.770083 0.057711 ENSG00000110455
GSTT2 ENSG00000099984.6 0.692662 0.063732 ENSG00000099984
GSTT2B ENSG00000133433.6 0.605142 0.078228 ENSG00000133433
MFN2 ENSG00000116688.12 0.070858 0.070837 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.086788 0.06898 ENSG00000153898
SPATA20 ENSG00000006282.15 0.849371 0.040661 ENSG00000006282
OPRL1 ENSG00000125510.11 0.32428 0.090887 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.340593 0.082351 ENSG00000112053
C8orf31 ENSG00000177335.6 0.108211 0.076485 ENSG00000177335
SLC28A3 ENSG00000197506.6 0.078982 0.070388 ENSG00000197506
PSD4 ENSG00000125637.10 0.433433 0.087803 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.054872 0.057542 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.655304 0.112544 ENSG00000154529
RNASET2 ENSG00000026297.11 0.205022 0.08155 ENSG00000026297
CARKD ENSG00000213995.7 0.122355 0.083608 ENSG00000213995
KRT38 ENSG00000171360.3 0.087324 0.055239 ENSG00000171360
RDH13 ENSG00000160439.10 0.464174 0.093362 ENSG00000160439
AGAP7 ENSG00000204169.6 0.444344 0.104745 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.421349 0.090413 ENSG00000239713
NOD2 ENSG00000167207.7 0.169209 0.075338 ENSG00000167207
GSTM4 ENSG00000168765.11 0.166675 0.092223 ENSG00000168765
NUDT7 ENSG00000140876.7 0.121148 0.078105 ENSG00000140876
LRRC61 ENSG00000127399.10 0.417143 0.077628 ENSG00000127399
FADS2 ENSG00000134824.9 0.246045 0.086652 ENSG00000134824
LRRC37A ENSG00000176681.10 0.412421 0.090218 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.469148 0.083074 ENSG00000214872
RFWD3 ENSG00000168411.9 0.187824 0.084732 ENSG00000168411
TMEM9 ENSG00000116857.11 0.433293 0.094399 ENSG00000116857
CCDC15 ENSG00000149548.10 0.075425 0.068762 ENSG00000149548
NT5C3B ENSG00000141698.12 0.637256 0.064448 ENSG00000141698
KNSTRN ENSG00000128944.8 0.674539 0.062661 ENSG00000128944
FCGR2B ENSG00000072694.14 0.074479 0.076658 ENSG00000072694
TNFAIP8L1 ENSG00000185361.4 0.111294 0.085494 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.185566 0.082838 ENSG00000136449
CTSW ENSG00000172543.3 0.424272 0.079167 ENSG00000172543
NT5E ENSG00000135318.7 0.076077 0.045882 ENSG00000135318
