AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
PVRL2 ENSG00000130202.5 0.045763 0.05083 ENSG00000130202
MDGA1 ENSG00000112139.9 0.080712 0.048983 ENSG00000112139
ADARB2 ENSG00000185736.11 0.084886 0.059699 ENSG00000185736
TMTC1 ENSG00000133687.11 0.014361 0.031502 ENSG00000133687
NIPAL2 ENSG00000104361.5 0.065052 0.047581 ENSG00000104361
CNR1 ENSG00000118432.11 0.108574 0.061593 ENSG00000118432
PEX11G ENSG00000104883.3 0.033844 0.036091 ENSG00000104883
FAM118A ENSG00000100376.7 0.528515 0.063155 ENSG00000100376
LRRC6 ENSG00000129295.4 0.053263 0.052677 ENSG00000129295
PILRA ENSG00000085514.10 0.116578 0.056272 ENSG00000085514
RPS28 ENSG00000233927.4 0.505132 0.068431 ENSG00000233927
TREML4 ENSG00000188056.7 0.073229 0.054862 ENSG00000188056
PAM ENSG00000145730.16 0.03352 0.032717 ENSG00000145730
RNPEP ENSG00000176393.6 0.259638 0.084868 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.086407 0.053293 ENSG00000161381
SORCS2 ENSG00000184985.12 0.064425 0.057562 ENSG00000184985
VPS53 ENSG00000141252.15 0.286047 0.066479 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.021984 0.037357 ENSG00000113504
ZP3 ENSG00000188372.10 0.459744 0.069688 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.0186 0.034004 ENSG00000168255
NFXL1 ENSG00000170448.7 0.02016 0.034517 ENSG00000170448
RPL9 ENSG00000163682.11 0.3252 0.070848 ENSG00000163682
TRMT12 ENSG00000183665.4 0.035058 0.045387 ENSG00000183665
ITGB3BP ENSG00000142856.12 0.054354 0.0452 ENSG00000142856
FABP2 ENSG00000145384.3 0.064005 0.042764 ENSG00000145384
ACCS ENSG00000110455.9 0.391955 0.076126 ENSG00000110455
GSTT2 ENSG00000099984.6 0.385414 0.072312 ENSG00000099984
UBE2U ENSG00000177414.8 0.047966 0.048508 ENSG00000177414
NAV1 ENSG00000134369.11 0.104651 0.055731 ENSG00000134369
GSTT2B ENSG00000133433.6 0.022588 0.042986 ENSG00000133433
A4GALT ENSG00000128274.11 0.139268 0.068089 ENSG00000128274
MFN2 ENSG00000116688.12 0.012646 0.035325 ENSG00000116688
PGM5 ENSG00000154330.8 0.025506 0.033277 ENSG00000154330
MCOLN2 ENSG00000153898.8 0.017155 0.035401 ENSG00000153898
SPATA20 ENSG00000006282.15 0.095898 0.053956 ENSG00000006282
OPRL1 ENSG00000125510.11 0.043424 0.044193 ENSG00000125510
C8orf31 ENSG00000177335.6 0.013535 0.031732 ENSG00000177335
LEPROT ENSG00000213625.4 0.017644 0.036705 ENSG00000213625
DCBLD1 ENSG00000164465.14 0.062853 0.041726 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.012703 0.015901 ENSG00000154529
CARKD ENSG00000213995.7 0.113426 0.063814 ENSG00000213995
NSUN4 ENSG00000117481.5 0.094888 0.046777 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.013788 0.034193 ENSG00000239713
GSTM4 ENSG00000168765.11 0.166032 0.071656 ENSG00000168765
HOXB2 ENSG00000173917.9 0.065358 0.04359 ENSG00000173917
KRT23 ENSG00000108244.12 0.147513 0.061259 ENSG00000108244
LRRC61 ENSG00000127399.10 0.179248 0.062894 ENSG00000127399
TKTL1 ENSG00000007350.12 0.029237 0.047493 ENSG00000007350
LRRC37A ENSG00000176681.10 0.205423 0.076775 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.453591 0.074371 ENSG00000214872
RFWD3 ENSG00000168411.9 0.110238 0.058432 ENSG00000168411
C10orf128 ENSG00000204161.9 0.056709 0.046022 ENSG00000204161
TMEM9 ENSG00000116857.11 0.062302 0.047641 ENSG00000116857
CCDC15 ENSG00000149548.10 0.099546 0.058939 ENSG00000149548
CTXN2 ENSG00000233932.3 0.011386 0.029398 ENSG00000233932
KNSTRN ENSG00000128944.8 0.070145 0.049391 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.033078 0.041841 ENSG00000136449
CTSW ENSG00000172543.3 0.014032 0.024984 ENSG00000172543
GCAT ENSG00000100116.12 0.044605 0.045076 ENSG00000100116
ADAD2 ENSG00000140955.6 0.248636 0.086301 ENSG00000140955
CES1 ENSG00000198848.8 0.156614 0.068674 ENSG00000198848
ZNF436 ENSG00000125945.9 0.057678 0.045746 ENSG00000125945
CNTNAP2 ENSG00000174469.13 0.022295 0.034007 ENSG00000174469
HAUS4 ENSG00000092036.12 0.175904 0.065392 ENSG00000092036
EHMT1 ENSG00000181090.13 0.038122 0.032095 ENSG00000181090
GRHPR ENSG00000137106.13 0.017824 0.030276 ENSG00000137106
BAMBI ENSG00000095739.7 0.122963 0.068783 ENSG00000095739
LILRA4 ENSG00000239961.2 0.264848 0.077897 ENSG00000239961
QRSL1 ENSG00000130348.7 0.053539 0.043759 ENSG00000130348
STOX1 ENSG00000165730.10 0.038696 0.039512 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.164499 0.067409 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.098826 0.04911 ENSG00000100197
DHFR ENSG00000228716.2 0.288569 0.064376 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.056147 0.04228 ENSG00000162383
CNGA1 ENSG00000198515.9 0.256611 0.070538 ENSG00000198515
APIP ENSG00000149089.8 0.359577 0.068074 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.182901 0.072505 ENSG00000238083
ZNF641 ENSG00000167528.8 0.197413 0.061691 ENSG00000167528
TUFM ENSG00000178952.4 0.033424 0.0313 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.039853 0.039853 ENSG00000156113
FAM151B ENSG00000152380.5 0.046011 0.041611 ENSG00000152380
COL5A3 ENSG00000080573.6 0.039464 0.047448 ENSG00000080573
RRP7A ENSG00000189306.6 0.089137 0.050962 ENSG00000189306
RPTN ENSG00000215853.3 0.090464 0.063445 ENSG00000215853
ARHGAP22 ENSG00000128805.10 0.029329 0.039415 ENSG00000128805
CCDC109B ENSG00000005059.11 0.014756 0.029567 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.014239 0.042178 ENSG00000145882
KCNJ4 ENSG00000168135.4 0.028972 0.044667 ENSG00000168135
RBPMS2 ENSG00000166831.4 0.024794 0.034887 ENSG00000166831
SMIM20 ENSG00000250317.4 0.074434 0.056787 ENSG00000250317
C8B ENSG00000021852.8 0.062319 0.053449 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.222703 0.067129 ENSG00000204038
PKP4 ENSG00000144283.17 0.025716 0.037501 ENSG00000144283
TLR3 ENSG00000164342.7 0.029527 0.031657 ENSG00000164342
TACSTD2 ENSG00000184292.5 0.023945 0.037212 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.028408 0.028716 ENSG00000120322
ZNF266 ENSG00000174652.13 0.299576 0.062658 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.026312 0.037747 ENSG00000178460
WARS ENSG00000140105.13 0.109107 0.061187 ENSG00000140105
APOL4 ENSG00000100336.13 0.133935 0.069162 ENSG00000100336
LCK ENSG00000182866.12 0.040583 0.049629 ENSG00000182866
NTPCR ENSG00000135778.6 0.030725 0.042804 ENSG00000135778
PTK7 ENSG00000112655.11 0.082439 0.061891 ENSG00000112655
ABHD4 ENSG00000100439.6 0.04715 0.050268 ENSG00000100439
CAPN11 ENSG00000137225.8 0.040561 0.045862 ENSG00000137225
POLR2J ENSG00000005075.11 0.039333 0.03551 ENSG00000005075
C12orf61 ENSG00000221949.2 0.020046 0.051732 ENSG00000221949
PMM2 ENSG00000140650.7 0.0926 0.055627 ENSG00000140650
ATMIN ENSG00000166454.5 0.266119 0.072228 ENSG00000166454
AKR1C1 ENSG00000187134.8 0.094328 0.059316 ENSG00000187134
GBP3 ENSG00000117226.7 0.304198 0.070837 ENSG00000117226
IFT88 ENSG00000032742.13 0.023238 0.040109 ENSG00000032742
ARL14EP ENSG00000152219.4 0.014553 0.028891 ENSG00000152219
VNN1 ENSG00000112299.7 0.036171 0.043646 ENSG00000112299
ANXA8L2 ENSG00000186807.9 0.048317 0.044893 ENSG00000186807
ZNF205 ENSG00000122386.6 0.167423 0.066739 ENSG00000122386
CCR7 ENSG00000126353.3 0.02104 0.030245 ENSG00000126353
FAM181A ENSG00000140067.6 0.023465 0.032377 ENSG00000140067
RBM43 ENSG00000184898.6 0.019439 0.03043 ENSG00000184898
DARC ENSG00000213088.5 0.080394 0.05137 ENSG00000213088
CISD1 ENSG00000122873.7 0.010721 0.025604 ENSG00000122873
TMEM50B ENSG00000142188.12 0.18274 0.065449 ENSG00000142188
SYF2 ENSG00000117614.5 0.055215 0.054045 ENSG00000117614
PCSK5 ENSG00000099139.9 0.028223 0.051357 ENSG00000099139
BRD7 ENSG00000166164.11 0.035398 0.044556 ENSG00000166164
ARL17B ENSG00000228696.4 0.011518 0.025392 ENSG00000228696
GLIS3 ENSG00000107249.17 0.035521 0.038661 ENSG00000107249
FAM83D ENSG00000101447.9 0.013876 0.042115 ENSG00000101447
TJP2 ENSG00000119139.12 0.198284 0.069174 ENSG00000119139
NME4 ENSG00000103202.8 0.144628 0.063154 ENSG00000103202
GCC2 ENSG00000135968.15 0.037572 0.037255 ENSG00000135968
OPN4 ENSG00000122375.7 0.133771 0.056916 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.039977 0.038261 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.176632 0.067375 ENSG00000171903
QDPR ENSG00000151552.7 0.010839 0.03634 ENSG00000151552
TDGF1 ENSG00000241186.3 0.421677 0.083051 ENSG00000241186
NSFL1C ENSG00000088833.12 0.049812 0.060002 ENSG00000088833
MAPK14 ENSG00000112062.6 0.050914 0.040598 ENSG00000112062
FANCA ENSG00000187741.10 0.286764 0.076009 ENSG00000187741
RSPO4 ENSG00000101282.4 0.070233 0.054901 ENSG00000101282
MAML3 ENSG00000196782.8 0.042383 0.048429 ENSG00000196782
PARP16 ENSG00000138617.10 0.013331 0.027901 ENSG00000138617
UBE2Z ENSG00000159202.13 0.050456 0.037943 ENSG00000159202
GSTM1 ENSG00000134184.8 0.157625 0.069042 ENSG00000134184
COG1 ENSG00000166685.7 0.018406 0.040489 ENSG00000166685
ZFP28 ENSG00000196867.3 0.013907 0.045946 ENSG00000196867
UBQLN1 ENSG00000135018.9 0.05748 0.044707 ENSG00000135018
YIPF5 ENSG00000145817.12 0.089493 0.054126 ENSG00000145817
CCDC102A ENSG00000135736.5 0.015538 0.041834 ENSG00000135736
FADS1 ENSG00000149485.12 0.033908 0.035526 ENSG00000149485
ZNF555 ENSG00000186300.7 0.059073 0.051854 ENSG00000186300
TRIM4 ENSG00000146833.11 0.029005 0.027462 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.211176 0.066049 ENSG00000100191
GIMAP5 ENSG00000196329.6 0.102682 0.066912 ENSG00000196329
IQCB1 ENSG00000173226.12 0.063442 0.049901 ENSG00000173226
PPARGC1A ENSG00000109819.4 0.013285 0.033081 ENSG00000109819
FRRS1 ENSG00000156869.8 0.038712 0.039758 ENSG00000156869
COG5 ENSG00000164597.9 0.061186 0.044192 ENSG00000164597
MTHFS ENSG00000136371.5 0.16556 0.068067 ENSG00000136371
ASB3 ENSG00000270898.1 0.030525 0.035935 ENSG00000270898
PLVAP ENSG00000130300.4 0.016177 0.045304 ENSG00000130300
C15orf38 ENSG00000242498.3 0.146593 0.063875 ENSG00000242498
C10orf107 ENSG00000183346.6 0.028863 0.034487 ENSG00000183346
BCAT1 ENSG00000060982.10 0.092438 0.057096 ENSG00000060982
ASNSD1 ENSG00000138381.5 0.22331 0.067748 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.07265 0.053476 ENSG00000196963
TMEM45A ENSG00000181458.6 0.036836 0.030333 ENSG00000181458
ZFP90 ENSG00000184939.10 0.12983 0.053084 ENSG00000184939
TXNDC2 ENSG00000168454.9 0.031102 0.046347 ENSG00000168454
CDH23 ENSG00000107736.15 0.070044 0.056543 ENSG00000107736
ZNF586 ENSG00000083828.11 0.139276 0.056185 ENSG00000083828
ZNF282 ENSG00000170265.7 0.013862 0.034537 ENSG00000170265
CYB5D2 ENSG00000167740.5 0.035189 0.034553 ENSG00000167740
CD3D ENSG00000167286.5 0.042421 0.042957 ENSG00000167286
DSCC1 ENSG00000136982.5 0.044498 0.045009 ENSG00000136982
VPS36 ENSG00000136100.8 0.015783 0.028519 ENSG00000136100
COG6 ENSG00000133103.12 0.380989 0.067252 ENSG00000133103
PPP1R16A ENSG00000160972.5 0.013488 0.030282 ENSG00000160972
SYTL2 ENSG00000137501.12 0.014491 0.035067 ENSG00000137501
SLC22A5 ENSG00000197375.8 0.081625 0.046418 ENSG00000197375
ADRBK2 ENSG00000100077.9 0.162567 0.061124 ENSG00000100077
RCBTB1 ENSG00000136144.7 0.247676 0.069933 ENSG00000136144
NR2F6 ENSG00000160113.5 0.100881 0.06247 ENSG00000160113
ZNF589 ENSG00000164048.9 0.108601 0.05354 ENSG00000164048
ZNF605 ENSG00000196458.6 0.130899 0.052968 ENSG00000196458
TMEM230 ENSG00000089063.10 0.064728 0.06048 ENSG00000089063
F11R ENSG00000270149.1 0.037748 0.046963 ENSG00000270149
BSG ENSG00000172270.14 0.052374 0.045555 ENSG00000172270
CFD ENSG00000197766.3 0.029437 0.036837 ENSG00000197766
SLC35D1 ENSG00000116704.6 0.022194 0.035858 ENSG00000116704
PTMS ENSG00000159335.11 0.060471 0.057173 ENSG00000159335
RNF141 ENSG00000110315.2 0.057547 0.047317 ENSG00000110315
SH3BP1 ENSG00000100092.16 0.046901 0.046687 ENSG00000100092
MYRF ENSG00000124920.9 0.012148 0.028103 ENSG00000124920
CYP4F12 ENSG00000186204.9 0.052373 0.040624 ENSG00000186204
BMP2 ENSG00000125845.6 0.020444 0.042268 ENSG00000125845
ZNF554 ENSG00000172006.7 0.067143 0.058819 ENSG00000172006
RNF17 ENSG00000132972.13 0.015749 0.047089 ENSG00000132972
