AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
PVRL2 ENSG00000130202.5 0.193495 0.073079 ENSG00000130202
JUP ENSG00000173801.12 0.014248 0.028616 ENSG00000173801
MDGA1 ENSG00000112139.9 0.246138 0.076204 ENSG00000112139
GSTT1 ENSG00000184674.8 0.576602 0.065416 ENSG00000184674
ADARB2 ENSG00000185736.11 0.210774 0.072091 ENSG00000185736
TMEM176B ENSG00000106565.13 0.376099 0.076425 ENSG00000106565
TMTC1 ENSG00000133687.11 0.048694 0.04873 ENSG00000133687
TMEM176A ENSG00000002933.3 0.172595 0.073216 ENSG00000002933
NIPAL2 ENSG00000104361.5 0.033238 0.035771 ENSG00000104361
CNR1 ENSG00000118432.11 0.05125 0.04936 ENSG00000118432
PEX11G ENSG00000104883.3 0.031636 0.056019 ENSG00000104883
FAM118A ENSG00000100376.7 0.453657 0.068826 ENSG00000100376
LRRC6 ENSG00000129295.4 0.062181 0.050129 ENSG00000129295
PILRA ENSG00000085514.10 0.548472 0.064456 ENSG00000085514
RPS28 ENSG00000233927.4 0.820114 0.033796 ENSG00000233927
TREML4 ENSG00000188056.7 0.138981 0.063207 ENSG00000188056
PAM ENSG00000145730.16 0.027405 0.034545 ENSG00000145730
RNPEP ENSG00000176393.6 0.242764 0.075538 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.018013 0.035382 ENSG00000161381
VPS53 ENSG00000141252.15 0.214675 0.064689 ENSG00000141252
ZP3 ENSG00000188372.10 0.676527 0.050178 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.305684 0.076182 ENSG00000168255
NFXL1 ENSG00000170448.7 0.043733 0.041198 ENSG00000170448
RPL9 ENSG00000163682.11 0.842152 0.028457 ENSG00000163682
TRMT12 ENSG00000183665.4 0.087685 0.060329 ENSG00000183665
ST20 ENSG00000180953.7 0.287828 0.071479 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.52851 0.061218 ENSG00000142856
CPA5 ENSG00000158525.11 0.090257 0.055497 ENSG00000158525
ADK ENSG00000156110.9 0.011572 0.027389 ENSG00000156110
FABP2 ENSG00000145384.3 0.069351 0.039203 ENSG00000145384
