AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
MDGA1 ENSG00000112139.9 0.665827 0.065314 ENSG00000112139
GSTT1 ENSG00000184674.8 0.166067 0.072491 ENSG00000184674
AFAP1 ENSG00000196526.6 0.451909 0.082249 ENSG00000196526
MFSD9 ENSG00000135953.6 0.086331 0.061138 ENSG00000135953
FAM118A ENSG00000100376.7 0.243778 0.08055 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.088118 0.071016 ENSG00000106772
PILRA ENSG00000085514.10 0.173933 0.072716 ENSG00000085514
RPS28 ENSG00000233927.4 0.450844 0.084776 ENSG00000233927
PLXDC1 ENSG00000161381.9 0.077427 0.052777 ENSG00000161381
SORCS2 ENSG00000184985.12 0.056247 0.058801 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.088698 0.058175 ENSG00000138801
VPS53 ENSG00000141252.15 0.067342 0.050522 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.092014 0.070327 ENSG00000113504
ZP3 ENSG00000188372.10 0.205129 0.075996 ENSG00000188372
RPL9 ENSG00000163682.11 0.446392 0.076077 ENSG00000163682
TRMT12 ENSG00000183665.4 0.276229 0.077998 ENSG00000183665
ADK ENSG00000156110.9 0.132934 0.061599 ENSG00000156110
UNC5B ENSG00000107731.8 0.190802 0.086135 ENSG00000107731
ABCA7 ENSG00000064687.8 0.192534 0.088468 ENSG00000064687
GSTT2 ENSG00000099984.6 0.492921 0.073053 ENSG00000099984
UBE2U ENSG00000177414.8 0.132739 0.070401 ENSG00000177414
NAV1 ENSG00000134369.11 0.089149 0.058115 ENSG00000134369
GSTT2B ENSG00000133433.6 0.41115 0.075786 ENSG00000133433
A4GALT ENSG00000128274.11 0.097709 0.065645 ENSG00000128274
MFN2 ENSG00000116688.12 0.102415 0.063229 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.054619 0.050393 ENSG00000153898
OPRL1 ENSG00000125510.11 0.158667 0.071553 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.085739 0.057804 ENSG00000112053
PTF1A ENSG00000168267.5 0.102057 0.058809 ENSG00000168267
PSD4 ENSG00000125637.10 0.056526 0.046068 ENSG00000125637
RNASET2 ENSG00000026297.11 0.184574 0.067064 ENSG00000026297
RDH13 ENSG00000160439.10 0.268878 0.090054 ENSG00000160439
AGAP7 ENSG00000204169.6 0.076264 0.06026 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.084387 0.054968 ENSG00000239713
NOD2 ENSG00000167207.7 0.053167 0.056119 ENSG00000167207
GSTM4 ENSG00000168765.11 0.278297 0.085856 ENSG00000168765
LRRC61 ENSG00000127399.10 0.067409 0.048613 ENSG00000127399
TKTL1 ENSG00000007350.12 0.074286 0.05907 ENSG00000007350
LRRC37A ENSG00000176681.10 0.390067 0.087512 ENSG00000176681
RFWD3 ENSG00000168411.9 0.131376 0.060385 ENSG00000168411
NT5C3B ENSG00000141698.12 0.078739 0.050363 ENSG00000141698
ADCK3 ENSG00000163050.11 0.085395 0.048436 ENSG00000163050
LILRB5 ENSG00000105609.12 0.10075 0.067111 ENSG00000105609
ADAD2 ENSG00000140955.6 0.072873 0.079356 ENSG00000140955
CES1 ENSG00000198848.8 0.066184 0.06546 ENSG00000198848
ZNF436 ENSG00000125945.9 0.051352 0.050877 ENSG00000125945
HPR ENSG00000261701.2 0.14822 0.06866 ENSG00000261701
HAUS4 ENSG00000092036.12 0.059209 0.045404 ENSG00000092036
BAMBI ENSG00000095739.7 0.119475 0.077747 ENSG00000095739
LILRA4 ENSG00000239961.2 0.088838 0.070544 ENSG00000239961
KIAA1715 ENSG00000144320.9 0.065795 0.050966 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.076304 0.078462 ENSG00000154099
QRSL1 ENSG00000130348.7 0.14375 0.064533 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.156526 0.068737 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.22611 0.070734 ENSG00000100197
DHFR ENSG00000228716.2 0.053207 0.04996 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.09383 0.057381 ENSG00000162383
CNGA1 ENSG00000198515.9 0.195333 0.064748 ENSG00000198515
G6PC2 ENSG00000152254.6 0.227129 0.074129 ENSG00000152254
APIP ENSG00000149089.8 0.094917 0.060823 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.284736 0.086627 ENSG00000238083
TUFM ENSG00000178952.4 0.077621 0.047754 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.118961 0.066904 ENSG00000156113
RRP7A ENSG00000189306.6 0.310499 0.085786 ENSG00000189306
RPTN ENSG00000215853.3 0.147634 0.07918 ENSG00000215853
WASH4P ENSG00000234769.4 0.053139 0.06535 ENSG00000234769
CDS2 ENSG00000101290.9 0.192354 0.086327 ENSG00000101290
SMIM20 ENSG00000250317.4 0.112072 0.071253 ENSG00000250317
PKP4 ENSG00000144283.17 0.072739 0.058825 ENSG00000144283
TLR3 ENSG00000164342.7 0.103141 0.065262 ENSG00000164342
GM2A ENSG00000196743.4 0.127887 0.068601 ENSG00000196743
PCDHB8 ENSG00000120322.2 0.190175 0.079054 ENSG00000120322
WARS ENSG00000140105.13 0.071993 0.061938 ENSG00000140105
APOL4 ENSG00000100336.13 0.265617 0.085054 ENSG00000100336
MCM5 ENSG00000100297.10 0.051095 0.052502 ENSG00000100297
NTPCR ENSG00000135778.6 0.075763 0.057613 ENSG00000135778
ETV7 ENSG00000010030.9 0.054053 0.050208 ENSG00000010030
MOSPD3 ENSG00000106330.7 0.092266 0.057844 ENSG00000106330
PAQR5 ENSG00000137819.9 0.109374 0.060369 ENSG00000137819
GBP3 ENSG00000117226.7 0.22558 0.072781 ENSG00000117226
CDHR3 ENSG00000128536.11 0.100839 0.074495 ENSG00000128536
IREB2 ENSG00000136381.8 0.117455 0.057401 ENSG00000136381
ANXA8L2 ENSG00000186807.9 0.110805 0.061912 ENSG00000186807
GSTM2 ENSG00000213366.8 0.07611 0.058113 ENSG00000213366
RAD51C ENSG00000108384.10 0.074553 0.050627 ENSG00000108384
PCSK5 ENSG00000099139.9 0.078103 0.05814 ENSG00000099139
CAST ENSG00000153113.19 0.069892 0.059254 ENSG00000153113
C17orf97 ENSG00000187624.7 0.054489 0.041943 ENSG00000187624
ARL17B ENSG00000228696.4 0.116774 0.061636 ENSG00000228696
HMGXB3 ENSG00000113716.8 0.126522 0.070527 ENSG00000113716
NME4 ENSG00000103202.8 0.116288 0.069808 ENSG00000103202
GCC2 ENSG00000135968.15 0.110412 0.055531 ENSG00000135968
OPN4 ENSG00000122375.7 0.180232 0.070543 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.294526 0.073296 ENSG00000171903
KLK15 ENSG00000174562.9 0.204319 0.091022 ENSG00000174562
RSPO4 ENSG00000101282.4 0.187487 0.085962 ENSG00000101282
GSTM1 ENSG00000134184.8 0.108967 0.062707 ENSG00000134184
TMEM50A ENSG00000183726.6 0.081269 0.051898 ENSG00000183726
YIPF5 ENSG00000145817.12 0.103989 0.057667 ENSG00000145817
ZNF555 ENSG00000186300.7 0.057109 0.055317 ENSG00000186300
SLC5A4 ENSG00000100191.4 0.05456 0.047441 ENSG00000100191
DTD1 ENSG00000125821.7 0.066389 0.056889 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.0592 0.052871 ENSG00000196329
IQCB1 ENSG00000173226.12 0.05079 0.041348 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.061869 0.063441 ENSG00000101307
