AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
MDGA1 ENSG00000112139.9 0.038746 0.061084 ENSG00000112139
GSTT1 ENSG00000184674.8 0.131963 0.070793 ENSG00000184674
ADARB2 ENSG00000185736.11 0.08986 0.064374 ENSG00000185736
SLC12A1 ENSG00000074803.13 0.282788 0.079197 ENSG00000074803
TMTC1 ENSG00000133687.11 0.033717 0.046524 ENSG00000133687
NIPAL2 ENSG00000104361.5 0.016148 0.047063 ENSG00000104361
CNR1 ENSG00000118432.11 0.097974 0.064369 ENSG00000118432
AOC1 ENSG00000002726.15 0.015947 0.048066 ENSG00000002726
FAM118A ENSG00000100376.7 0.52681 0.091376 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.135242 0.082702 ENSG00000106772
LRRC6 ENSG00000129295.4 0.047498 0.063982 ENSG00000129295
PILRA ENSG00000085514.10 0.358501 0.07875 ENSG00000085514
TREML4 ENSG00000188056.7 0.01006 0.048933 ENSG00000188056
PAM ENSG00000145730.16 0.057713 0.043285 ENSG00000145730
RNPEP ENSG00000176393.6 0.164175 0.083443 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.012972 0.03977 ENSG00000161381
PAPSS1 ENSG00000138801.4 0.258243 0.083856 ENSG00000138801
VPS53 ENSG00000141252.15 0.186968 0.071972 ENSG00000141252
KIAA1324 ENSG00000116299.12 0.027793 0.048886 ENSG00000116299
ZP3 ENSG00000188372.10 0.191284 0.078261 ENSG00000188372
NFXL1 ENSG00000170448.7 0.108883 0.058711 ENSG00000170448
RPL9 ENSG00000163682.11 0.048201 0.0566 ENSG00000163682
TRMT12 ENSG00000183665.4 0.153368 0.076698 ENSG00000183665
ITGB3BP ENSG00000142856.12 0.090028 0.059863 ENSG00000142856
CPA5 ENSG00000158525.11 0.16176 0.069988 ENSG00000158525
NDST1 ENSG00000070614.10 0.025374 0.044527 ENSG00000070614
ADK ENSG00000156110.9 0.078699 0.046169 ENSG00000156110
UNC5B ENSG00000107731.8 0.036952 0.060154 ENSG00000107731
FABP2 ENSG00000145384.3 0.10384 0.060546 ENSG00000145384
ABCA7 ENSG00000064687.8 0.106715 0.073892 ENSG00000064687
ACCS ENSG00000110455.9 0.227172 0.091651 ENSG00000110455
GSTT2 ENSG00000099984.6 0.09825 0.065179 ENSG00000099984
UBE2U ENSG00000177414.8 0.115682 0.069926 ENSG00000177414
A4GALT ENSG00000128274.11 0.018666 0.040492 ENSG00000128274
MFN2 ENSG00000116688.12 0.163707 0.084492 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.053278 0.052207 ENSG00000153898
SPATA20 ENSG00000006282.15 0.136213 0.069355 ENSG00000006282
