AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
GSTT1 ENSG00000184674.8 0.131963 0.070793 ENSG00000184674
ADARB2 ENSG00000185736.11 0.08986 0.064374 ENSG00000185736
SLC12A1 ENSG00000074803.13 0.282788 0.079197 ENSG00000074803
CNR1 ENSG00000118432.11 0.097974 0.064369 ENSG00000118432
FAM118A ENSG00000100376.7 0.52681 0.091376 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.135242 0.082702 ENSG00000106772
PILRA ENSG00000085514.10 0.358501 0.07875 ENSG00000085514
PAM ENSG00000145730.16 0.057713 0.043285 ENSG00000145730
RNPEP ENSG00000176393.6 0.164175 0.083443 ENSG00000176393
PAPSS1 ENSG00000138801.4 0.258243 0.083856 ENSG00000138801
VPS53 ENSG00000141252.15 0.186968 0.071972 ENSG00000141252
ZP3 ENSG00000188372.10 0.191284 0.078261 ENSG00000188372
NFXL1 ENSG00000170448.7 0.108883 0.058711 ENSG00000170448
TRMT12 ENSG00000183665.4 0.153368 0.076698 ENSG00000183665
ITGB3BP ENSG00000142856.12 0.090028 0.059863 ENSG00000142856
CPA5 ENSG00000158525.11 0.16176 0.069988 ENSG00000158525
ADK ENSG00000156110.9 0.078699 0.046169 ENSG00000156110
FABP2 ENSG00000145384.3 0.10384 0.060546 ENSG00000145384
ABCA7 ENSG00000064687.8 0.106715 0.073892 ENSG00000064687
ACCS ENSG00000110455.9 0.227172 0.091651 ENSG00000110455
GSTT2 ENSG00000099984.6 0.09825 0.065179 ENSG00000099984
UBE2U ENSG00000177414.8 0.115682 0.069926 ENSG00000177414
MFN2 ENSG00000116688.12 0.163707 0.084492 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.053278 0.052207 ENSG00000153898
SPATA20 ENSG00000006282.15 0.136213 0.069355 ENSG00000006282
OPRL1 ENSG00000125510.11 0.068375 0.056394 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.116911 0.065319 ENSG00000112053
SLC28A3 ENSG00000197506.6 0.149799 0.068642 ENSG00000197506
DCBLD1 ENSG00000164465.14 0.12447 0.062315 ENSG00000164465
CARKD ENSG00000213995.7 0.077057 0.075897 ENSG00000213995
RDH13 ENSG00000160439.10 0.064787 0.072685 ENSG00000160439
AGAP7 ENSG00000204169.6 0.113855 0.072035 ENSG00000204169
