AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
FAM118A ENSG00000100376.7 0.424612 0.091818 ENSG00000100376
PILRA ENSG00000085514.10 0.111132 0.060206 ENSG00000085514
TREML4 ENSG00000188056.7 0.103278 0.073679 ENSG00000188056
RNPEP ENSG00000176393.6 0.146125 0.086963 ENSG00000176393
VPS53 ENSG00000141252.15 0.141503 0.075103 ENSG00000141252
RPL9 ENSG00000163682.11 0.309263 0.085293 ENSG00000163682
ST20 ENSG00000180953.7 0.108768 0.080533 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.156981 0.075901 ENSG00000142856
ABCA7 ENSG00000064687.8 0.21517 0.094579 ENSG00000064687
ACCS ENSG00000110455.9 0.299657 0.089976 ENSG00000110455
GSTT2B ENSG00000133433.6 0.109047 0.070584 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.214485 0.077963 ENSG00000153898
SPATA20 ENSG00000006282.15 0.135235 0.081968 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.192862 0.08004 ENSG00000112053
PSD4 ENSG00000125637.10 0.131566 0.06973 ENSG00000125637
RDH13 ENSG00000160439.10 0.253868 0.098385 ENSG00000160439
NOD2 ENSG00000167207.7 0.131539 0.071195 ENSG00000167207
LRRC37A ENSG00000176681.10 0.107987 0.064477 ENSG00000176681
TMEM9 ENSG00000116857.11 0.126351 0.073847 ENSG00000116857
KNSTRN ENSG00000128944.8 0.19892 0.08718 ENSG00000128944
ADAD2 ENSG00000140955.6 0.131526 0.085255 ENSG00000140955
CYP2D6 ENSG00000100197.16 0.165776 0.071628 ENSG00000100197
SLC1A7 ENSG00000162383.7 0.146457 0.075545 ENSG00000162383
G6PC2 ENSG00000152254.6 0.145857 0.078995 ENSG00000152254
APIP ENSG00000149089.8 0.214708 0.075501 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.272013 0.097762 ENSG00000238083
RAB3IL1 ENSG00000167994.7 0.108275 0.073525 ENSG00000167994
PRSS46 ENSG00000261603.1 0.10532 0.065949 ENSG00000261603
SOAT1 ENSG00000057252.8 0.109643 0.069973 ENSG00000057252
IFITM3 ENSG00000142089.11 0.252003 0.09064 ENSG00000142089
AL359195.1 ENSG00000204038.3 0.225101 0.084418 ENSG00000204038
TACSTD2 ENSG00000184292.5 0.10548 0.078099 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.12569 0.072287 ENSG00000120322
MCMDC2 ENSG00000178460.13 0.154867 0.087872 ENSG00000178460
APOL4 ENSG00000100336.13 0.167641 0.093502 ENSG00000100336
C12orf61 ENSG00000221949.2 0.101656 0.090636 ENSG00000221949
ATMIN ENSG00000166454.5 0.203491 0.091744 ENSG00000166454
CDHR3 ENSG00000128536.11 0.159824 0.083088 ENSG00000128536
C15orf57 ENSG00000128891.11 0.104236 0.0601 ENSG00000128891
ARL14EP ENSG00000152219.4 0.116248 0.066944 ENSG00000152219
ANXA8L2 ENSG00000186807.9 0.319716 0.083083 ENSG00000186807
DARC ENSG00000213088.5 0.129104 0.089312 ENSG00000213088
CISD1 ENSG00000122873.7 0.120824 0.062912 ENSG00000122873
GAL ENSG00000069482.6 0.156779 0.072666 ENSG00000069482
CAST ENSG00000153113.19 0.111416 0.067453 ENSG00000153113
ADAT1 ENSG00000065457.6 0.165687 0.078166 ENSG00000065457
GCC2 ENSG00000135968.15 0.158209 0.080187 ENSG00000135968
OPN4 ENSG00000122375.7 0.182604 0.082269 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.306669 0.077987 ENSG00000171903
NSFL1C ENSG00000088833.12 0.133891 0.082993 ENSG00000088833
FANCA ENSG00000187741.10 0.224793 0.079759 ENSG00000187741
RSPO4 ENSG00000101282.4 0.296092 0.098255 ENSG00000101282
TRIM4 ENSG00000146833.11 0.10315 0.0603 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.106212 0.082096 ENSG00000100191
DTD1 ENSG00000125821.7 0.130271 0.070956 ENSG00000125821
SIRPB1 ENSG00000101307.11 0.356357 0.097061 ENSG00000101307
BSPRY ENSG00000119411.10 0.190994 0.082993 ENSG00000119411
MTHFS ENSG00000136371.5 0.242036 0.086856 ENSG00000136371
PPIP5K2 ENSG00000145725.14 0.243041 0.084426 ENSG00000145725
VLDLR ENSG00000147852.10 0.254222 0.09224 ENSG00000147852
C10orf107 ENSG00000183346.6 0.170901 0.073619 ENSG00000183346
BCAT1 ENSG00000060982.10 0.22824 0.096968 ENSG00000060982
PCDHB16 ENSG00000196963.2 0.210619 0.086421 ENSG00000196963
CDH23 ENSG00000107736.15 0.172818 0.083534 ENSG00000107736
RASGRP4 ENSG00000171777.11 0.168808 0.088865 ENSG00000171777
TRIM37 ENSG00000108395.9 0.101996 0.064384 ENSG00000108395
DSCC1 ENSG00000136982.5 0.128564 0.071667 ENSG00000136982
ANKDD1A ENSG00000166839.12 0.101862 0.066713 ENSG00000166839
COG6 ENSG00000133103.12 0.116266 0.072634 ENSG00000133103
DDX11 ENSG00000013573.12 0.487443 0.078569 ENSG00000013573
ZNF589 ENSG00000164048.9 0.221276 0.086888 ENSG00000164048
TMEM230 ENSG00000089063.10 0.204726 0.099279 ENSG00000089063
BSG ENSG00000172270.14 0.12032 0.081916 ENSG00000172270
C4BPA ENSG00000123838.6 0.215989 0.076534 ENSG00000123838
ZNF554 ENSG00000172006.7 0.123171 0.083296 ENSG00000172006
BICD2 ENSG00000185963.9 0.113672 0.081765 ENSG00000185963
LRRC8B ENSG00000197147.8 0.243891 0.080026 ENSG00000197147
CRYGN ENSG00000127377.4 0.1224 0.076944 ENSG00000127377
VPS28 ENSG00000160948.9 0.264649 0.096546 ENSG00000160948
GSDMA ENSG00000167914.6 0.166078 0.070452 ENSG00000167914
SRD5A3 ENSG00000128039.6 0.161415 0.067992 ENSG00000128039
TIMM21 ENSG00000075336.7 0.135085 0.075599 ENSG00000075336
PCSK9 ENSG00000169174.9 0.156152 0.08907 ENSG00000169174
IZUMO2 ENSG00000161652.8 0.170932 0.094637 ENSG00000161652
IRF6 ENSG00000117595.6 0.183458 0.073315 ENSG00000117595
KLHL10 ENSG00000161594.6 0.118068 0.058247 ENSG00000161594
POMZP3 ENSG00000146707.10 0.100029 0.058057 ENSG00000146707
DDT ENSG00000099977.9 0.13143 0.074041 ENSG00000099977
SEC16A ENSG00000148396.14 0.122324 0.086017 ENSG00000148396
CBS ENSG00000160200.13 0.118908 0.083106 ENSG00000160200
PTPRN2 ENSG00000155093.13 0.128991 0.077357 ENSG00000155093
PODN ENSG00000174348.9 0.159921 0.07522 ENSG00000174348
SLC28A2 ENSG00000137860.7 0.132441 0.06276 ENSG00000137860
ACOX3 ENSG00000087008.11 0.109141 0.079498 ENSG00000087008
CRTC1 ENSG00000105662.11 0.111615 0.069369 ENSG00000105662
PSMB8 ENSG00000204264.4 0.138808 0.071234 ENSG00000204264
CCDC14 ENSG00000175455.10 0.159205 0.071113 ENSG00000175455
ESYT2 ENSG00000117868.11 0.146098 0.073547 ENSG00000117868
PTK6 ENSG00000101213.5 0.119382 0.062651 ENSG00000101213
ZNF333 ENSG00000160961.7 0.142949 0.082894 ENSG00000160961
ABCC8 ENSG00000006071.7 0.110635 0.066933 ENSG00000006071
TAF1C ENSG00000103168.12 0.109825 0.081352 ENSG00000103168
PM20D1 ENSG00000162877.8 0.336808 0.08526 ENSG00000162877
CARD11 ENSG00000198286.5 0.130455 0.081535 ENSG00000198286
IL21R ENSG00000103522.11 0.290612 0.093676 ENSG00000103522
SYNGR1 ENSG00000100321.10 0.281406 0.076617 ENSG00000100321
GLDC ENSG00000178445.8 0.20411 0.087402 ENSG00000178445
SDCCAG8 ENSG00000054282.11 0.159346 0.07265 ENSG00000054282
ZC3HAV1 ENSG00000105939.8 0.166761 0.087936 ENSG00000105939
AP3M1 ENSG00000185009.8 0.143145 0.079601 ENSG00000185009
ATP8A1 ENSG00000124406.12 0.110597 0.079351 ENSG00000124406
FSD1 ENSG00000105255.6 0.238007 0.101754 ENSG00000105255
CD55 ENSG00000196352.9 0.108405 0.068795 ENSG00000196352
SNX31 ENSG00000174226.4 0.304795 0.093924 ENSG00000174226
EFCAB13 ENSG00000178852.11 0.101688 0.063019 ENSG00000178852
CLEC18C ENSG00000157335.15 0.343779 0.084437 ENSG00000157335
FAS ENSG00000026103.15 0.120097 0.071321 ENSG00000026103
GNS ENSG00000135677.6 0.11032 0.067446 ENSG00000135677
TTC18 ENSG00000156042.13 0.133357 0.079586 ENSG00000156042
FAM109A ENSG00000198324.10 0.11998 0.075338 ENSG00000198324
