AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
PVRL2 ENSG00000130202.5 0.04407 0.061221 ENSG00000130202
JUP ENSG00000173801.12 0.038629 0.036921 ENSG00000173801
MDGA1 ENSG00000112139.9 0.063056 0.060659 ENSG00000112139
GSTT1 ENSG00000184674.8 0.050579 0.055315 ENSG00000184674
ADARB2 ENSG00000185736.11 0.106367 0.064292 ENSG00000185736
SLC12A1 ENSG00000074803.13 0.091107 0.05655 ENSG00000074803
AFAP1 ENSG00000196526.6 0.037642 0.056105 ENSG00000196526
TMTC1 ENSG00000133687.11 0.029849 0.040745 ENSG00000133687
APOBEC3B ENSG00000179750.11 0.017977 0.039937 ENSG00000179750
AOC1 ENSG00000002726.15 0.099521 0.071289 ENSG00000002726
FAM118A ENSG00000100376.7 0.137486 0.076028 ENSG00000100376
PILRA ENSG00000085514.10 0.063392 0.046106 ENSG00000085514
PAM ENSG00000145730.16 0.089865 0.058411 ENSG00000145730
SORCS2 ENSG00000184985.12 0.056682 0.080105 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.067538 0.056255 ENSG00000138801
VPS53 ENSG00000141252.15 0.049921 0.070013 ENSG00000141252
ZP3 ENSG00000188372.10 0.074071 0.048716 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.031699 0.036501 ENSG00000168255
RPL9 ENSG00000163682.11 0.055144 0.050222 ENSG00000163682
TRMT12 ENSG00000183665.4 0.022706 0.047938 ENSG00000183665
ST20 ENSG00000180953.7 0.031801 0.046651 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.075921 0.055763 ENSG00000142856
ADK ENSG00000156110.9 0.051606 0.052731 ENSG00000156110
FABP2 ENSG00000145384.3 0.043941 0.044119 ENSG00000145384
ABCA7 ENSG00000064687.8 0.056163 0.046976 ENSG00000064687
ACCS ENSG00000110455.9 0.182798 0.078713 ENSG00000110455
GSTT2 ENSG00000099984.6 0.06056 0.056507 ENSG00000099984
NAV1 ENSG00000134369.11 0.027201 0.059525 ENSG00000134369
A4GALT ENSG00000128274.11 0.184286 0.084753 ENSG00000128274
CCDC135 ENSG00000159625.10 0.146122 0.083882 ENSG00000159625
MYEF2 ENSG00000104177.13 0.038946 0.054339 ENSG00000104177
MCOLN2 ENSG00000153898.8 0.205384 0.074739 ENSG00000153898
SLC26A8 ENSG00000112053.9 0.04285 0.048827 ENSG00000112053
PSD4 ENSG00000125637.10 0.034201 0.039856 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.056823 0.051248 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.033189 0.036291 ENSG00000154529
CDKN3 ENSG00000100526.15 0.015455 0.0389 ENSG00000100526
KRT38 ENSG00000171360.3 0.049106 0.047298 ENSG00000171360
RDH13 ENSG00000160439.10 0.29328 0.099577 ENSG00000160439
AGAP7 ENSG00000204169.6 0.027941 0.039917 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.072734 0.055616 ENSG00000239713
HOXB2 ENSG00000173917.9 0.057843 0.045629 ENSG00000173917
NUDT7 ENSG00000140876.7 0.205439 0.085459 ENSG00000140876
LRRC61 ENSG00000127399.10 0.033406 0.036714 ENSG00000127399
FADS2 ENSG00000134824.9 0.019183 0.034619 ENSG00000134824
TKTL1 ENSG00000007350.12 0.082314 0.085091 ENSG00000007350
LRRC37A ENSG00000176681.10 0.36247 0.090972 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.019938 0.035668 ENSG00000214872
RFWD3 ENSG00000168411.9 0.02143 0.036182 ENSG00000168411
CORIN ENSG00000145244.7 0.059561 0.054473 ENSG00000145244
TMEM9 ENSG00000116857.11 0.1446 0.080187 ENSG00000116857
NT5C3B ENSG00000141698.12 0.054979 0.047095 ENSG00000141698
ADCK3 ENSG00000163050.11 0.066839 0.050333 ENSG00000163050
KNSTRN ENSG00000128944.8 0.266807 0.084153 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.063321 0.061172 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.035539 0.049594 ENSG00000136449
GCAT ENSG00000100116.12 0.03316 0.049171 ENSG00000100116
NT5E ENSG00000135318.7 0.031274 0.033894 ENSG00000135318
ADAD2 ENSG00000140955.6 0.032417 0.044619 ENSG00000140955
CES1 ENSG00000198848.8 0.117343 0.075271 ENSG00000198848
ZNF436 ENSG00000125945.9 0.018888 0.040533 ENSG00000125945
HPR ENSG00000261701.2 0.12633 0.063912 ENSG00000261701
