AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
MDGA1 ENSG00000112139.9 0.080712 0.048983 ENSG00000112139
ADARB2 ENSG00000185736.11 0.084886 0.059699 ENSG00000185736
NIPAL2 ENSG00000104361.5 0.065052 0.047581 ENSG00000104361
CNR1 ENSG00000118432.11 0.108574 0.061593 ENSG00000118432
FAM118A ENSG00000100376.7 0.528515 0.063155 ENSG00000100376
LRRC6 ENSG00000129295.4 0.053263 0.052677 ENSG00000129295
PILRA ENSG00000085514.10 0.116578 0.056272 ENSG00000085514
RPS28 ENSG00000233927.4 0.505132 0.068431 ENSG00000233927
TREML4 ENSG00000188056.7 0.073229 0.054862 ENSG00000188056
RNPEP ENSG00000176393.6 0.259638 0.084868 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.086407 0.053293 ENSG00000161381
SORCS2 ENSG00000184985.12 0.064425 0.057562 ENSG00000184985
VPS53 ENSG00000141252.15 0.286047 0.066479 ENSG00000141252
ZP3 ENSG00000188372.10 0.459744 0.069688 ENSG00000188372
RPL9 ENSG00000163682.11 0.3252 0.070848 ENSG00000163682
ITGB3BP ENSG00000142856.12 0.054354 0.0452 ENSG00000142856
FABP2 ENSG00000145384.3 0.064005 0.042764 ENSG00000145384
ACCS ENSG00000110455.9 0.391955 0.076126 ENSG00000110455
GSTT2 ENSG00000099984.6 0.385414 0.072312 ENSG00000099984
NAV1 ENSG00000134369.11 0.104651 0.055731 ENSG00000134369
A4GALT ENSG00000128274.11 0.139268 0.068089 ENSG00000128274
SPATA20 ENSG00000006282.15 0.095898 0.053956 ENSG00000006282
DCBLD1 ENSG00000164465.14 0.062853 0.041726 ENSG00000164465
CARKD ENSG00000213995.7 0.113426 0.063814 ENSG00000213995
NSUN4 ENSG00000117481.5 0.094888 0.046777 ENSG00000117481
GSTM4 ENSG00000168765.11 0.166032 0.071656 ENSG00000168765
HOXB2 ENSG00000173917.9 0.065358 0.04359 ENSG00000173917
KRT23 ENSG00000108244.12 0.147513 0.061259 ENSG00000108244
LRRC61 ENSG00000127399.10 0.179248 0.062894 ENSG00000127399
LRRC37A ENSG00000176681.10 0.205423 0.076775 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.453591 0.074371 ENSG00000214872
RFWD3 ENSG00000168411.9 0.110238 0.058432 ENSG00000168411
C10orf128 ENSG00000204161.9 0.056709 0.046022 ENSG00000204161
TMEM9 ENSG00000116857.11 0.062302 0.047641 ENSG00000116857
CCDC15 ENSG00000149548.10 0.099546 0.058939 ENSG00000149548
KNSTRN ENSG00000128944.8 0.070145 0.049391 ENSG00000128944
ADAD2 ENSG00000140955.6 0.248636 0.086301 ENSG00000140955
CES1 ENSG00000198848.8 0.156614 0.068674 ENSG00000198848
ZNF436 ENSG00000125945.9 0.057678 0.045746 ENSG00000125945
HAUS4 ENSG00000092036.12 0.175904 0.065392 ENSG00000092036
BAMBI ENSG00000095739.7 0.122963 0.068783 ENSG00000095739
LILRA4 ENSG00000239961.2 0.264848 0.077897 ENSG00000239961
QRSL1 ENSG00000130348.7 0.053539 0.043759 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.164499 0.067409 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.098826 0.04911 ENSG00000100197
DHFR ENSG00000228716.2 0.288569 0.064376 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.056147 0.04228 ENSG00000162383
CNGA1 ENSG00000198515.9 0.256611 0.070538 ENSG00000198515
APIP ENSG00000149089.8 0.359577 0.068074 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.182901 0.072505 ENSG00000238083
ZNF641 ENSG00000167528.8 0.197413 0.061691 ENSG00000167528
RRP7A ENSG00000189306.6 0.089137 0.050962 ENSG00000189306
