AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
GSTT1 ENSG00000184674.8 0.671726 0.065848 ENSG00000184674
TMEM176B ENSG00000106565.13 0.146553 0.086133 ENSG00000106565
TMTC1 ENSG00000133687.11 0.114898 0.073386 ENSG00000133687
NIPAL2 ENSG00000104361.5 0.316593 0.088382 ENSG00000104361
PEX11G ENSG00000104883.3 0.214211 0.102417 ENSG00000104883
FAM118A ENSG00000100376.7 0.835036 0.04646 ENSG00000100376
PILRA ENSG00000085514.10 0.384915 0.077717 ENSG00000085514
RPS28 ENSG00000233927.4 0.841437 0.041834 ENSG00000233927
TREML4 ENSG00000188056.7 0.405242 0.094986 ENSG00000188056
PAM ENSG00000145730.16 0.151799 0.078508 ENSG00000145730
RNPEP ENSG00000176393.6 0.241934 0.098963 ENSG00000176393
VPS53 ENSG00000141252.15 0.426738 0.081801 ENSG00000141252
ZP3 ENSG00000188372.10 0.641902 0.063097 ENSG00000188372
NFXL1 ENSG00000170448.7 0.118779 0.063947 ENSG00000170448
RPL9 ENSG00000163682.11 0.82601 0.039104 ENSG00000163682
ST20 ENSG00000180953.7 0.741533 0.061731 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.74768 0.051701 ENSG00000142856
ABCA7 ENSG00000064687.8 0.418877 0.10065 ENSG00000064687
ACCS ENSG00000110455.9 0.770083 0.057711 ENSG00000110455
GSTT2 ENSG00000099984.6 0.692662 0.063732 ENSG00000099984
GSTT2B ENSG00000133433.6 0.605142 0.078228 ENSG00000133433
SPATA20 ENSG00000006282.15 0.849371 0.040661 ENSG00000006282
OPRL1 ENSG00000125510.11 0.32428 0.090887 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.340593 0.082351 ENSG00000112053
C8orf31 ENSG00000177335.6 0.108211 0.076485 ENSG00000177335
PSD4 ENSG00000125637.10 0.433433 0.087803 ENSG00000125637
CNTNAP3B ENSG00000154529.10 0.655304 0.112544 ENSG00000154529
RNASET2 ENSG00000026297.11 0.205022 0.08155 ENSG00000026297
