AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
PVRL2 ENSG00000130202.5 0.110486 0.067491 ENSG00000130202
MDGA1 ENSG00000112139.9 0.37449 0.093487 ENSG00000112139
GSTT1 ENSG00000184674.8 0.700978 0.064598 ENSG00000184674
ADARB2 ENSG00000185736.11 0.207418 0.084974 ENSG00000185736
TMEM176B ENSG00000106565.13 0.195145 0.087327 ENSG00000106565
AFAP1 ENSG00000196526.6 0.110183 0.084704 ENSG00000196526
TMEM176A ENSG00000002933.3 0.136646 0.078528 ENSG00000002933
PEX11G ENSG00000104883.3 0.214213 0.089127 ENSG00000104883
FAM118A ENSG00000100376.7 0.64589 0.067167 ENSG00000100376
PILRA ENSG00000085514.10 0.290706 0.071161 ENSG00000085514
RPS28 ENSG00000233927.4 0.778058 0.046835 ENSG00000233927
TREML4 ENSG00000188056.7 0.108228 0.071923 ENSG00000188056
SORCS2 ENSG00000184985.12 0.17489 0.101408 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.334648 0.084761 ENSG00000138801
VPS53 ENSG00000141252.15 0.23248 0.077452 ENSG00000141252
ZP3 ENSG00000188372.10 0.781613 0.041065 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.239429 0.084899 ENSG00000168255
RPL9 ENSG00000163682.11 0.825221 0.036451 ENSG00000163682
ST20 ENSG00000180953.7 0.471572 0.081681 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.784216 0.041334 ENSG00000142856
ACCS ENSG00000110455.9 0.654432 0.066246 ENSG00000110455
GSTT2 ENSG00000099984.6 0.671402 0.058734 ENSG00000099984
GSTT2B ENSG00000133433.6 0.609473 0.065759 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.513126 0.079023 ENSG00000153898
SPATA20 ENSG00000006282.15 0.728201 0.054812 ENSG00000006282
OPRL1 ENSG00000125510.11 0.247742 0.087364 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.203169 0.073006 ENSG00000112053
PSD4 ENSG00000125637.10 0.24328 0.085852 ENSG00000125637
CNTNAP3B ENSG00000154529.10 0.303825 0.155778 ENSG00000154529
RDH13 ENSG00000160439.10 0.393302 0.095054 ENSG00000160439
AGAP7 ENSG00000204169.6 0.447949 0.09571 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.377188 0.08027 ENSG00000239713
HOXB2 ENSG00000173917.9 0.129355 0.061246 ENSG00000173917
NUDT7 ENSG00000140876.7 0.187313 0.086626 ENSG00000140876
LRRC61 ENSG00000127399.10 0.214966 0.071861 ENSG00000127399
FADS2 ENSG00000134824.9 0.136582 0.074178 ENSG00000134824
LRRC37A ENSG00000176681.10 0.425845 0.08124 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.284392 0.07781 ENSG00000214872
RFWD3 ENSG00000168411.9 0.230469 0.079665 ENSG00000168411
TMEM9 ENSG00000116857.11 0.381546 0.087816 ENSG00000116857
NT5C3B ENSG00000141698.12 0.565441 0.068226 ENSG00000141698
KNSTRN ENSG00000128944.8 0.65126 0.060769 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.103604 0.072781 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.121404 0.073363 ENSG00000136449
CTSW ENSG00000172543.3 0.329451 0.077411 ENSG00000172543
CES1 ENSG00000198848.8 0.118158 0.076736 ENSG00000198848
ZNF436 ENSG00000125945.9 0.253218 0.083578 ENSG00000125945
HPR ENSG00000261701.2 0.330754 0.08415 ENSG00000261701
HAUS4 ENSG00000092036.12 0.593061 0.071035 ENSG00000092036
GRHPR ENSG00000137106.13 0.297361 0.088588 ENSG00000137106
LILRA4 ENSG00000239961.2 0.14797 0.087086 ENSG00000239961
H3F3A ENSG00000163041.5 0.409538 0.080992 ENSG00000163041
