AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
MDGA1 ENSG00000112139.9 0.063056 0.060659 ENSG00000112139
GSTT1 ENSG00000184674.8 0.050579 0.055315 ENSG00000184674
ADARB2 ENSG00000185736.11 0.106367 0.064292 ENSG00000185736
SLC12A1 ENSG00000074803.13 0.091107 0.05655 ENSG00000074803
AOC1 ENSG00000002726.15 0.099521 0.071289 ENSG00000002726
FAM118A ENSG00000100376.7 0.137486 0.076028 ENSG00000100376
PILRA ENSG00000085514.10 0.063392 0.046106 ENSG00000085514
PAM ENSG00000145730.16 0.089865 0.058411 ENSG00000145730
SORCS2 ENSG00000184985.12 0.056682 0.080105 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.067538 0.056255 ENSG00000138801
ZP3 ENSG00000188372.10 0.074071 0.048716 ENSG00000188372
RPL9 ENSG00000163682.11 0.055144 0.050222 ENSG00000163682
ITGB3BP ENSG00000142856.12 0.075921 0.055763 ENSG00000142856
ADK ENSG00000156110.9 0.051606 0.052731 ENSG00000156110
ABCA7 ENSG00000064687.8 0.056163 0.046976 ENSG00000064687
ACCS ENSG00000110455.9 0.182798 0.078713 ENSG00000110455
GSTT2 ENSG00000099984.6 0.06056 0.056507 ENSG00000099984
A4GALT ENSG00000128274.11 0.184286 0.084753 ENSG00000128274
CCDC135 ENSG00000159625.10 0.146122 0.083882 ENSG00000159625
MCOLN2 ENSG00000153898.8 0.205384 0.074739 ENSG00000153898
DCBLD1 ENSG00000164465.14 0.056823 0.051248 ENSG00000164465
RDH13 ENSG00000160439.10 0.29328 0.099577 ENSG00000160439
APOBEC3G ENSG00000239713.3 0.072734 0.055616 ENSG00000239713
HOXB2 ENSG00000173917.9 0.057843 0.045629 ENSG00000173917
NUDT7 ENSG00000140876.7 0.205439 0.085459 ENSG00000140876
TKTL1 ENSG00000007350.12 0.082314 0.085091 ENSG00000007350
LRRC37A ENSG00000176681.10 0.36247 0.090972 ENSG00000176681
CORIN ENSG00000145244.7 0.059561 0.054473 ENSG00000145244
TMEM9 ENSG00000116857.11 0.1446 0.080187 ENSG00000116857
NT5C3B ENSG00000141698.12 0.054979 0.047095 ENSG00000141698
ADCK3 ENSG00000163050.11 0.066839 0.050333 ENSG00000163050
KNSTRN ENSG00000128944.8 0.266807 0.084153 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.063321 0.061172 ENSG00000185361
CES1 ENSG00000198848.8 0.117343 0.075271 ENSG00000198848
HPR ENSG00000261701.2 0.12633 0.063912 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.134076 0.079989 ENSG00000174469
HAUS4 ENSG00000092036.12 0.192303 0.071625 ENSG00000092036
BAMBI ENSG00000095739.7 0.055253 0.056759 ENSG00000095739
KIAA1715 ENSG00000144320.9 0.127775 0.070068 ENSG00000144320
STOX1 ENSG00000165730.10 0.099838 0.060397 ENSG00000165730
DHFR ENSG00000228716.2 0.155431 0.069908 ENSG00000228716
CNGA1 ENSG00000198515.9 0.056765 0.048242 ENSG00000198515
NUP133 ENSG00000069248.8 0.057961 0.061612 ENSG00000069248
NUPR1 ENSG00000176046.7 0.169511 0.064664 ENSG00000176046
APIP ENSG00000149089.8 0.16673 0.068006 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.169367 0.072573 ENSG00000238083
ZNF641 ENSG00000167528.8 0.113049 0.05637 ENSG00000167528
SOAT1 ENSG00000057252.8 0.075767 0.049596 ENSG00000057252
IFITM3 ENSG00000142089.11 0.072479 0.065107 ENSG00000142089
ARHGAP22 ENSG00000128805.10 0.160129 0.078762 ENSG00000128805
PCYOX1L ENSG00000145882.6 0.131999 0.075171 ENSG00000145882
CDS2 ENSG00000101290.9 0.094093 0.083285 ENSG00000101290
