AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
PVRL2 ENSG00000130202.5 0.027952 0.049784 ENSG00000130202
JUP ENSG00000173801.12 0.032668 0.039157 ENSG00000173801
MDGA1 ENSG00000112139.9 0.665827 0.065314 ENSG00000112139
GSTT1 ENSG00000184674.8 0.166067 0.072491 ENSG00000184674
ADARB2 ENSG00000185736.11 0.019419 0.054277 ENSG00000185736
TMEM176B ENSG00000106565.13 0.016638 0.041362 ENSG00000106565
AFAP1 ENSG00000196526.6 0.451909 0.082249 ENSG00000196526
TMTC1 ENSG00000133687.11 0.048409 0.051083 ENSG00000133687
TMEM176A ENSG00000002933.3 0.044963 0.054494 ENSG00000002933
MFSD9 ENSG00000135953.6 0.086331 0.061138 ENSG00000135953
AOC1 ENSG00000002726.15 0.036906 0.052677 ENSG00000002726
FAM118A ENSG00000100376.7 0.243778 0.08055 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.088118 0.071016 ENSG00000106772
LRRC6 ENSG00000129295.4 0.044314 0.058284 ENSG00000129295
PILRA ENSG00000085514.10 0.173933 0.072716 ENSG00000085514
RPS28 ENSG00000233927.4 0.450844 0.084776 ENSG00000233927
PAM ENSG00000145730.16 0.019699 0.030505 ENSG00000145730
PLXDC1 ENSG00000161381.9 0.077427 0.052777 ENSG00000161381
SORCS2 ENSG00000184985.12 0.056247 0.058801 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.088698 0.058175 ENSG00000138801
VPS53 ENSG00000141252.15 0.067342 0.050522 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.092014 0.070327 ENSG00000113504
ZP3 ENSG00000188372.10 0.205129 0.075996 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.043612 0.043725 ENSG00000168255
NFXL1 ENSG00000170448.7 0.014294 0.034362 ENSG00000170448
RPL9 ENSG00000163682.11 0.446392 0.076077 ENSG00000163682
TRMT12 ENSG00000183665.4 0.276229 0.077998 ENSG00000183665
ST20 ENSG00000180953.7 0.043534 0.048866 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.029209 0.049077 ENSG00000142856
CPA5 ENSG00000158525.11 0.018972 0.042363 ENSG00000158525
NDST1 ENSG00000070614.10 0.032125 0.045598 ENSG00000070614
ADK ENSG00000156110.9 0.132934 0.061599 ENSG00000156110
UNC5B ENSG00000107731.8 0.190802 0.086135 ENSG00000107731
ABCA7 ENSG00000064687.8 0.192534 0.088468 ENSG00000064687
ACCS ENSG00000110455.9 0.010337 0.042139 ENSG00000110455
GSTT2 ENSG00000099984.6 0.492921 0.073053 ENSG00000099984
UBE2U ENSG00000177414.8 0.132739 0.070401 ENSG00000177414
NAV1 ENSG00000134369.11 0.089149 0.058115 ENSG00000134369
GSTT2B ENSG00000133433.6 0.41115 0.075786 ENSG00000133433
A4GALT ENSG00000128274.11 0.097709 0.065645 ENSG00000128274
CCDC135 ENSG00000159625.10 0.024906 0.055747 ENSG00000159625
MFN2 ENSG00000116688.12 0.102415 0.063229 ENSG00000116688
MYEF2 ENSG00000104177.13 0.028576 0.046575 ENSG00000104177
MCOLN2 ENSG00000153898.8 0.054619 0.050393 ENSG00000153898
OPRL1 ENSG00000125510.11 0.158667 0.071553 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.085739 0.057804 ENSG00000112053
C8orf31 ENSG00000177335.6 0.044693 0.049963 ENSG00000177335
SLC28A3 ENSG00000197506.6 0.031114 0.042573 ENSG00000197506
PTF1A ENSG00000168267.5 0.102057 0.058809 ENSG00000168267
PSD4 ENSG00000125637.10 0.056526 0.046068 ENSG00000125637
RNASET2 ENSG00000026297.11 0.184574 0.067064 ENSG00000026297
CARKD ENSG00000213995.7 0.023126 0.056339 ENSG00000213995
KRT38 ENSG00000171360.3 0.022376 0.035402 ENSG00000171360
RDH13 ENSG00000160439.10 0.268878 0.090054 ENSG00000160439
AGAP7 ENSG00000204169.6 0.076264 0.06026 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.084387 0.054968 ENSG00000239713
NOD2 ENSG00000167207.7 0.053167 0.056119 ENSG00000167207
GSTM4 ENSG00000168765.11 0.278297 0.085856 ENSG00000168765
HOXB2 ENSG00000173917.9 0.038256 0.045183 ENSG00000173917
KRT23 ENSG00000108244.12 0.018142 0.04763 ENSG00000108244
NUDT7 ENSG00000140876.7 0.037458 0.045741 ENSG00000140876
LRRC61 ENSG00000127399.10 0.067409 0.048613 ENSG00000127399
FADS2 ENSG00000134824.9 0.04916 0.044897 ENSG00000134824
TKTL1 ENSG00000007350.12 0.074286 0.05907 ENSG00000007350
LRRC37A ENSG00000176681.10 0.390067 0.087512 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.016269 0.034008 ENSG00000214872
RFWD3 ENSG00000168411.9 0.131376 0.060385 ENSG00000168411
CCDC15 ENSG00000149548.10 0.011307 0.04435 ENSG00000149548
NT5C3B ENSG00000141698.12 0.078739 0.050363 ENSG00000141698
ADCK3 ENSG00000163050.11 0.085395 0.048436 ENSG00000163050
FCGR2B ENSG00000072694.14 0.028884 0.043189 ENSG00000072694
LILRB5 ENSG00000105609.12 0.10075 0.067111 ENSG00000105609
TNFAIP8L1 ENSG00000185361.4 0.035417 0.047123 ENSG00000185361
CTSW ENSG00000172543.3 0.027146 0.035014 ENSG00000172543
GCAT ENSG00000100116.12 0.028823 0.046869 ENSG00000100116
ADAD2 ENSG00000140955.6 0.072873 0.079356 ENSG00000140955
CES1 ENSG00000198848.8 0.066184 0.06546 ENSG00000198848
ZNF436 ENSG00000125945.9 0.051352 0.050877 ENSG00000125945
HPR ENSG00000261701.2 0.14822 0.06866 ENSG00000261701
CCDC94 ENSG00000105248.11 0.041383 0.053459 ENSG00000105248
CTB-133G6.1 ENSG00000263264.1 0.034 0.067494 ENSG00000263264
HAUS4 ENSG00000092036.12 0.059209 0.045404 ENSG00000092036
EHMT1 ENSG00000181090.13 0.042668 0.0382 ENSG00000181090
GRHPR ENSG00000137106.13 0.049249 0.052157 ENSG00000137106
KIF16B ENSG00000089177.13 0.019485 0.047347 ENSG00000089177
BAMBI ENSG00000095739.7 0.119475 0.077747 ENSG00000095739
LILRA4 ENSG00000239961.2 0.088838 0.070544 ENSG00000239961
H3F3A ENSG00000163041.5 0.02309 0.040508 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.065795 0.050966 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.076304 0.078462 ENSG00000154099
QRSL1 ENSG00000130348.7 0.14375 0.064533 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.156526 0.068737 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.22611 0.070734 ENSG00000100197
DHFR ENSG00000228716.2 0.053207 0.04996 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.09383 0.057381 ENSG00000162383
CNGA1 ENSG00000198515.9 0.195333 0.064748 ENSG00000198515
NUP133 ENSG00000069248.8 0.02208 0.044994 ENSG00000069248
G6PC2 ENSG00000152254.6 0.227129 0.074129 ENSG00000152254
NUPR1 ENSG00000176046.7 0.010226 0.030252 ENSG00000176046
APIP ENSG00000149089.8 0.094917 0.060823 ENSG00000149089
SAMD12 ENSG00000177570.9 0.047806 0.052802 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.284736 0.086627 ENSG00000238083
RAB3IL1 ENSG00000167994.7 0.026685 0.042961 ENSG00000167994
ZNF641 ENSG00000167528.8 0.033281 0.042679 ENSG00000167528
TUFM ENSG00000178952.4 0.077621 0.047754 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.118961 0.066904 ENSG00000156113
HIF1A ENSG00000100644.12 0.012867 0.036383 ENSG00000100644
SOAT1 ENSG00000057252.8 0.025917 0.037034 ENSG00000057252
RRP7A ENSG00000189306.6 0.310499 0.085786 ENSG00000189306
RPTN ENSG00000215853.3 0.147634 0.07918 ENSG00000215853
IFITM3 ENSG00000142089.11 0.017834 0.042871 ENSG00000142089
LIMS2 ENSG00000072163.14 0.043904 0.044346 ENSG00000072163
WASH4P ENSG00000234769.4 0.053139 0.06535 ENSG00000234769
SLC24A5 ENSG00000188467.6 0.023839 0.048513 ENSG00000188467
PCYOX1L ENSG00000145882.6 0.012546 0.042559 ENSG00000145882
CDS2 ENSG00000101290.9 0.192354 0.086327 ENSG00000101290
RBPMS2 ENSG00000166831.4 0.030277 0.032316 ENSG00000166831
